,Current Qtr.,Next Qtr.,Current Year,Next Year,Next 5 Years (per annum),Past 5 Years (per annum)
A,15.50%,16.70%,18.60%,11.80%,10.80%,8.07%
BIO,57.10%,64.00%,8.70%,7.20%,17.80%,12.03%
CDNA,,,-13.00%,235.00%,20.00%,
CRL,19.00%,34.80%,12.50%,12.30%,13.87%,15.40%
DGX,295.70%,108.50%,-0.90%,-27.70%,9.22%,9.20%
DHR,61.00%,25.70%,21.20%,6.70%,12.19%,2.93%
DXCM,-31.80%,-35.40%,-24.20%,43.40%,23.60%,
ENZ,,,,,,-24.05%
EXAS,-46.50%,-43.10%,37.40%,28.50%,98.50%,
GH,-237.90%,-49.10%,-38.80%,16.10%,12.60%,
HTGM,-633.30%,16.70%,37.30%,28.70%,,
IDXX,33.30%,18.60%,13.10%,14.40%,17.09%,24.02%
LH,211.40%,124.10%,-10.40%,-28.10%,10.93%,11.11%
LNTH,-102.80%,-60.00%,-21.30%,137.80%,-5.62%,24.19%
MEDP,31.60%,62.50%,13.80%,19.70%,13.62%,35.21%
MYGN,-75.00%,77.40%,72.70%,288.90%,8.10%,-6.20%
NEO,150.00%,150.00%,33.30%,90.00%,20.00%,35.35%
NEOG,13.00%,6.50%,6.20%,12.50%,10.00%,14.68%
NTRA,-126.70%,-48.00%,-48.90%,17.30%,,
ONVO,,,,,,
PACB,"-4,000.00%",-26.70%,-670.60%,21.60%,-1.00%,
PCRX,18.90%,533.30%,50.70%,25.80%,41.70%,7.56%
PKI,347.80%,52.90%,8.10%,-30.80%,17.20%,10.49%
PMD,,,,,20.00%,6.52%
PRAH,27.60%,64.00%,22.70%,13.90%,15.23%,29.70%
PTN,-50.00%,-33.30%,-40.00%,35.70%,,
QDEL,320.50%,246.20%,35.10%,-54.50%,7.20%,39.60%
RDNT,90.90%,181.00%,282.80%,26.40%,15.00%,12.46%
RGEN,31.20%,11.90%,15.80%,16.20%,31.50%,49.81%
SOLY,-31.60%,-52.60%,-51.90%,37.60%,36.00%,
SRDX,"1,475.00%",-157.10%,184.60%,162.20%,10.00%,-17.29%
SYNH,8.80%,65.50%,24.60%,14.10%,17.36%,15.78%
TMDX,31.00%,22.20%,7.80%,43.90%,,
TMO,126.20%,39.80%,12.70%,-8.50%,4.12%,13.05%
TTOO,68.20%,22.20%,25.60%,17.20%,,
AA,300.00%,"3,200.00%",283.60%,1.90%,199.70%,
CDE,,"1,500.00%",125.00%,-9.30%,-54.55%,-40.03%
CLF,236.80%,471.40%,671.70%,-45.20%,27.43%,47.69%
CMP,-27.50%,150.00%,102.90%,23.40%,27.55%,-19.49%
FCX,387.50%,"1,800.00%",337.00%,16.90%,40.07%,-9.79%
HL,266.70%,500.00%,450.00%,22.70%,-33.35%,-5.93%
MTRN,39.50%,51.00%,41.40%,31.40%,12.00%,15.64%
NEM,115.00%,190.60%,44.40%,0.30%,-1.41%,3.03%
RGLD,26.60%,60.40%,42.00%,11.60%,15.40%,12.64%
SLCA,-833.30%,-55.60%,-22.60%,80.00%,-291.20%,-5.44%
AAL,-48.30%,69.60%,60.10%,102.40%,-45.70%,-13.49%
ALGT,-182.40%,100.50%,122.20%,609.20%,-17.20%,4.68%
ALK,-356.10%,72.90%,71.30%,240.10%,-18.50%,-9.61%
DAL,-437.30%,74.90%,74.10%,239.10%,-26.15%,12.11%
JBLU,-311.90%,57.40%,53.20%,134.60%,-38.30%,0.97%
LUV,"-1,140.00%",71.90%,68.60%,244.10%,-21.00%,9.78%
SAVE,-191.90%,67.70%,55.30%,139.10%,-48.80%,3.48%
SKYW,52.50%,35.30%,817.60%,219.70%,-26.32%,32.62%
UAL,-165.40%,63.80%,63.00%,127.70%,-30.20%,2.05%
AMG,33.50%,32.50%,21.90%,9.10%,7.00%,3.25%
AMP,-14.00%,85.20%,40.40%,10.30%,10.11%,16.39%
APO,45.90%,34.80%,34.70%,27.60%,11.02%,29.64%
BCOR,11.10%,855.60%,29.50%,13.10%,20.00%,47.75%
BEN,12.10%,10.00%,16.10%,5.60%,4.68%,-4.28%
BLK,26.40%,13.90%,8.90%,11.40%,12.68%,9.02%
BX,56.50%,69.80%,21.50%,15.50%,15.29%,-11.09%
CNS,24.60%,48.10%,26.50%,11.10%,9.70%,12.15%
EFR,,,,,,
EV,10.00%,18.30%,13.10%,12.40%,4.79%,9.58%
HNNA,,,,,,-34.62%
IEP,99.80%,-101.50%,97.80%,,,-39.04%
IVZ,73.50%,82.90%,32.60%,4.30%,2.70%,0.68%
KKR,35.70%,64.10%,43.30%,18.40%,18.15%,14.22%
MC,84.40%,690.90%,5.50%,0.70%,-4.70%,8.55%
MN,,,,,8.00%,-38.43%
SEIC,22.20%,32.40%,21.70%,8.20%,12.00%,14.39%
TROW,54.00%,30.60%,24.70%,5.00%,13.83%,14.71%
WHG,,,,,,-3.99%
AAOI,38.60%,25.00%,37.00%,81.00%,13.00%,44.26%
ACLS,-3.00%,10.30%,30.40%,39.80%,20.00%,-0.54%
ADI,34.30%,12.50%,23.00%,10.60%,11.78%,21.28%
AEHR,,533.30%,,,20.00%,65.08%
AMAT,69.70%,46.20%,43.40%,8.00%,19.80%,36.83%
AMBA,325.00%,166.70%,109.10%,53.60%,10.06%,-35.11%
AMD,144.40%,161.10%,52.70%,27.90%,26.31%,39.81%
AMKR,61.50%,73.90%,35.00%,-1.60%,31.72%,7.79%
AOSL,400.00%,110.30%,168.20%,4.70%,17.00%,33.04%
ASYS,103.60%,400.00%,118.00%,315.00%,20.00%,96.39%
AVGO,24.70%,21.70%,21.10%,7.70%,8.60%,30.56%
AXTI,600.00%,500.00%,228.60%,26.10%,10.00%,29.64%
BRKS,100.00%,62.50%,57.90%,16.60%,12.00%,39.75%
CCMP,9.10%,12.80%,6.00%,0.50%,13.00%,29.93%
CREE,-64.30%,-16.70%,-95.60%,55.70%,-20.64%,-16.31%
CRUS,4.40%,13.20%,15.80%,6.50%,8.85%,-0.01%
ENPH,15.80%,188.20%,53.30%,30.50%,37.70%,4.12%
FORM,18.20%,15.20%,5.40%,11.50%,20.00%,22.80%
FSLR,-9.40%,297.10%,16.10%,-18.50%,31.90%,-23.97%
GSIT,-18.80%,,-100.00%,,10.00%,-22.31%
INTC,-23.40%,-8.90%,-10.40%,2.30%,5.43%,19.01%
INTT,375.00%,340.00%,"2,633.30%",7.30%,15.00%,9.37%
IPGP,55.90%,90.10%,77.80%,24.10%,45.60%,8.19%
IPHI,30.60%,-6.30%,12.50%,14.80%,37.60%,10.85%
KLAC,45.30%,31.50%,29.10%,7.20%,15.81%,31.34%
KLIC,313.60%,271.40%,236.80%,-2.50%,20.00%,13.24%
KOPN,50.00%,-100.00%,-50.00%,100.00%,20.00%,-50.87%
LEDS,,,,,50.00%,
LRCX,65.80%,40.80%,56.40%,6.20%,22.97%,33.79%
MCHP,19.20%,15.40%,15.10%,15.80%,11.80%,25.01%
MPWR,41.10%,33.30%,13.90%,17.90%,25.00%,21.90%
MRAM,20.00%,100.00%,100.00%,,20.00%,
MRVL,50.00%,47.60%,47.80%,29.40%,37.00%,13.31%
MTSI,176.50%,42.40%,92.90%,11.60%,15.00%,-18.33%
MU,108.90%,52.40%,66.40%,88.10%,27.65%,31.29%
MXIM,21.30%,34.50%,31.90%,7.70%,18.44%,13.28%
NLST,,,,,15.00%,
NPTN,-200.00%,-175.00%,-193.50%,196.60%,15.00%,-6.78%
NVDA,78.90%,48.60%,33.60%,11.50%,25.19%,52.83%
NVEC,,,,,25.00%,-2.52%
OLED,-1.30%,"4,250.00%",41.40%,34.60%,34.42%,43.55%
ON,230.00%,225.00%,89.40%,23.00%,6.78%,23.41%
PKE,,,,,15.00%,-22.59%
PLAB,70.00%,23.50%,42.30%,23.00%,10.00%,2.41%
QCOM,88.60%,77.90%,74.20%,10.80%,24.48%,-8.36%
RUN,56.50%,36.40%,85.80%,-126.70%,47.82%,-17.01%
SEDG,6.30%,19.60%,17.50%,29.40%,20.00%,33.18%
SGH,53.80%,28.60%,37.10%,15.80%,21.50%,21.57%
SMTC,48.60%,32.60%,33.10%,17.20%,20.00%,11.96%
SWKS,75.40%,68.00%,66.90%,5.10%,11.95%,9.82%
TRT,,,,,,281.73%
TXN,26.60%,12.20%,15.10%,7.60%,10.00%,20.33%
XLNX,-5.30%,100.00%,-17.80%,25.40%,9.00%,12.81%
XPER,-44.60%,-29.80%,-57.80%,-24.40%,15.00%,-1.64%
AAON,-34.10%,-5.90%,-9.20%,18.00%,12.00%,1.35%
ADES,,,,,50.00%,9.95%
AIMC,15.40%,30.00%,8.30%,17.30%,15.00%,14.66%
AME,-1.00%,22.60%,8.60%,8.90%,-1.20%,11.40%
AOS,78.10%,26.70%,17.10%,9.50%,8.00%,14.91%
ARCW,,,,,15.00%,
ATI,-225.00%,-850.00%,19.20%,247.60%,-41.00%,25.10%
ATKR,87.90%,52.20%,56.10%,-14.40%,12.94%,51.49%
AVY,20.50%,44.10%,12.40%,7.80%,7.84%,17.69%
AYI,-8.20%,3.60%,-1.00%,8.50%,7.92%,15.57%
AZZ,21.30%,252.40%,-26.20%,33.50%,10.00%,-10.81%
CCF,,,,,,23.81%
CETX,,75.00%,36.00%,24.10%,,
CMI,8.50%,82.60%,17.30%,16.80%,14.98%,14.83%
CPST,63.50%,-5.90%,47.00%,51.00%,25.00%,
CR,11.30%,93.80%,33.60%,20.30%,-2.90%,9.43%
CSWI,16.90%,79.00%,-5.00%,63.80%,12.00%,31.68%
CULP,105.10%,163.60%,124.40%,195.50%,9.00%,-12.15%
DCI,16.00%,26.00%,10.50%,16.70%,10.00%,8.80%
DOV,4.30%,38.10%,13.40%,9.00%,9.50%,12.48%
EAF,-17.80%,17.10%,7.10%,15.60%,-5.87%,
EBF,-18.20%,,-32.00%,,5.00%,-0.19%
EMR,,11.20%,8.70%,10.60%,9.63%,1.93%
ETN,12.80%,82.90%,33.00%,15.60%,15.69%,6.17%
FELE,45.80%,44.40%,21.60%,9.40%,13.40%,9.53%
FLS,-9.50%,-24.50%,-12.10%,22.90%,7.53%,-13.42%
FSS,-12.80%,16.70%,9.00%,11.00%,16.00%,13.35%
FTEK,40.00%,50.00%,5.90%,,12.10%,-4.08%
GE,-60.00%,120.00%,"2,400.00%",104.00%,322.50%,-21.91%
GGG,31.60%,48.60%,16.40%,7.90%,10.40%,12.60%
GRC,12.00%,3.60%,32.00%,17.20%,15.00%,9.79%
HAYN,-281.20%,41.50%,-239.60%,143.90%,20.00%,-17.11%
HDSN,42.90%,-16.70%,91.70%,400.00%,30.00%,36.28%
HI,71.70%,20.00%,36.00%,2.00%,12.50%,2.94%
HNI,-57.10%,10.00%,8.90%,24.60%,9.00%,-13.13%
HON,-19.00%,46.00%,11.00%,12.40%,6.72%,8.26%
HUBB,-1.20%,20.90%,11.70%,9.30%,10.00%,11.04%
IEX,6.80%,32.70%,13.30%,9.90%,11.50%,13.55%
IR,36.00%,51.60%,20.60%,15.00%,16.07%,
ITW,6.80%,90.10%,19.50%,9.10%,7.15%,12.02%
LECO,18.00%,55.00%,20.50%,16.40%,13.90%,8.19%
LII,123.20%,26.60%,11.60%,11.80%,8.47%,25.05%
MCF,,,,,,-20.06%
MIDD,2.10%,190.90%,34.90%,18.40%,9.34%,12.65%
MMM,6.50%,23.60%,9.70%,8.40%,6.99%,5.98%
NDSN,3.80%,26.80%,20.40%,12.00%,13.00%,11.20%
OFLX,,,,,,-29.29%
PBI,,50.00%,13.30%,67.60%,-16.00%,-15.44%
PH,27.70%,52.20%,30.70%,13.30%,13.73%,15.55%
PNR,17.30%,23.70%,9.20%,9.20%,7.90%,-10.36%
PPIH,,,,,,-5.28%
PRLB,-32.80%,-13.60%,-11.90%,20.20%,25.00%,13.33%
RAVN,22.20%,18.20%,-36.10%,17.70%,10.00%,20.47%
ROK,-11.50%,57.50%,16.30%,7.30%,10.60%,7.95%
ROP,9.20%,24.10%,15.30%,7.10%,9.70%,19.06%
SCX,,,,,,-5.47%
SNA,15.00%,44.00%,6.10%,5.50%,7.95%,12.01%
SPXC,8.10%,15.60%,12.90%,9.20%,12.00%,2.10%
SWK,106.70%,59.40%,12.60%,10.10%,10.09%,9.43%
TAYD,,,,,,9.64%
TKR,9.00%,32.40%,22.20%,13.00%,12.10%,19.21%
